Number of Keys: 1, Average Relocations: 1.0, Load Factor: 0.001953125
Number of Keys: 2, Average Relocations: 1.0, Load Factor: 0.00390625
Number of Keys: 3, Average Relocations: 1.0, Load Factor: 0.005859375
Number of Keys: 4, Average Relocations: 1.0, Load Factor: 0.0078125
Number of Keys: 5, Average Relocations: 1.0, Load Factor: 0.009765625
Number of Keys: 6, Average Relocations: 1.0, Load Factor: 0.01171875
Number of Keys: 7, Average Relocations: 1.0, Load Factor: 0.013671875
Number of Keys: 8, Average Relocations: 1.0, Load Factor: 0.015625
Number of Keys: 9, Average Relocations: 1.0, Load Factor: 0.017578125
Number of Keys: 10, Average Relocations: 1.0, Load Factor: 0.01953125
Number of Keys: 11, Average Relocations: 1.0, Load Factor: 0.021484375
Number of Keys: 12, Average Relocations: 1.0, Load Factor: 0.0234375
Number of Keys: 13, Average Relocations: 1.0, Load Factor: 0.025390625
Number of Keys: 14, Average Relocations: 1.0, Load Factor: 0.02734375
Number of Keys: 15, Average Relocations: 1.0, Load Factor: 0.029296875
Number of Keys: 16, Average Relocations: 1.0, Load Factor: 0.03125
Number of Keys: 17, Average Relocations: 1.0, Load Factor: 0.033203125
Number of Keys: 18, Average Relocations: 1.0, Load Factor: 0.03515625
Number of Keys: 19, Average Relocations: 1.0, Load Factor: 0.037109375
Number of Keys: 20, Average Relocations: 1.0, Load Factor: 0.0390625
Number of Keys: 21, Average Relocations: 1.0, Load Factor: 0.041015625
Number of Keys: 22, Average Relocations: 1.0, Load Factor: 0.04296875
Number of Keys: 23, Average Relocations: 1.0, Load Factor: 0.044921875
Number of Keys: 24, Average Relocations: 1.0, Load Factor: 0.046875
Number of Keys: 25, Average Relocations: 1.0, Load Factor: 0.048828125
Number of Keys: 26, Average Relocations: 1.0, Load Factor: 0.05078125
Number of Keys: 27, Average Relocations: 1.0, Load Factor: 0.052734375
Number of Keys: 28, Average Relocations: 1.0, Load Factor: 0.0546875
Number of Keys: 29, Average Relocations: 1.0, Load Factor: 0.056640625
Number of Keys: 30, Average Relocations: 1.0, Load Factor: 0.05859375
Number of Keys: 31, Average Relocations: 1.0, Load Factor: 0.060546875
Number of Keys: 32, Average Relocations: 1.0, Load Factor: 0.0625
Number of Keys: 33, Average Relocations: 1.0, Load Factor: 0.064453125
Number of Keys: 34, Average Relocations: 1.0, Load Factor: 0.06640625
Number of Keys: 35, Average Relocations: 1.0, Load Factor: 0.068359375
Number of Keys: 36, Average Relocations: 1.0, Load Factor: 0.0703125
Number of Keys: 37, Average Relocations: 1.0, Load Factor: 0.072265625
Number of Keys: 38, Average Relocations: 1.0, Load Factor: 0.07421875
Number of Keys: 39, Average Relocations: 1.0, Load Factor: 0.076171875
Number of Keys: 40, Average Relocations: 1.0, Load Factor: 0.078125
Number of Keys: 41, Average Relocations: 1.0, Load Factor: 0.080078125
Number of Keys: 42, Average Relocations: 1.0, Load Factor: 0.08203125
Number of Keys: 43, Average Relocations: 1.0, Load Factor: 0.083984375
Number of Keys: 44, Average Relocations: 1.0, Load Factor: 0.0859375
Number of Keys: 45, Average Relocations: 1.0, Load Factor: 0.087890625
Number of Keys: 46, Average Relocations: 1.0, Load Factor: 0.08984375
Number of Keys: 47, Average Relocations: 1.0, Load Factor: 0.091796875
Number of Keys: 48, Average Relocations: 1.0, Load Factor: 0.09375
Number of Keys: 49, Average Relocations: 1.0, Load Factor: 0.095703125
Number of Keys: 50, Average Relocations: 1.0, Load Factor: 0.09765625
Number of Keys: 51, Average Relocations: 1.0, Load Factor: 0.099609375
Number of Keys: 52, Average Relocations: 1.0, Load Factor: 0.1015625
Number of Keys: 53, Average Relocations: 1.0, Load Factor: 0.103515625
Number of Keys: 54, Average Relocations: 1.0185185185185186, Load Factor: 0.10546875
Number of Keys: 55, Average Relocations: 1.0, Load Factor: 0.107421875
Number of Keys: 56, Average Relocations: 1.0, Load Factor: 0.109375
Number of Keys: 57, Average Relocations: 1.0, Load Factor: 0.111328125
Number of Keys: 58, Average Relocations: 1.0, Load Factor: 0.11328125
Number of Keys: 59, Average Relocations: 1.0, Load Factor: 0.115234375
Number of Keys: 60, Average Relocations: 1.0, Load Factor: 0.1171875
Number of Keys: 61, Average Relocations: 1.0, Load Factor: 0.119140625
Number of Keys: 62, Average Relocations: 1.0, Load Factor: 0.12109375
Number of Keys: 63, Average Relocations: 1.0, Load Factor: 0.123046875
Number of Keys: 64, Average Relocations: 1.0, Load Factor: 0.125
Number of Keys: 65, Average Relocations: 1.0, Load Factor: 0.126953125
Number of Keys: 66, Average Relocations: 1.0, Load Factor: 0.12890625
Number of Keys: 67, Average Relocations: 1.0298507462686568, Load Factor: 0.130859375
Number of Keys: 68, Average Relocations: 1.0, Load Factor: 0.1328125
Number of Keys: 69, Average Relocations: 1.0, Load Factor: 0.134765625
Number of Keys: 70, Average Relocations: 1.0, Load Factor: 0.13671875
Number of Keys: 71, Average Relocations: 1.0140845070422535, Load Factor: 0.138671875
Number of Keys: 72, Average Relocations: 1.0, Load Factor: 0.140625
Number of Keys: 73, Average Relocations: 1.0136986301369864, Load Factor: 0.142578125
Number of Keys: 74, Average Relocations: 1.0, Load Factor: 0.14453125
Number of Keys: 75, Average Relocations: 1.0, Load Factor: 0.146484375
Number of Keys: 76, Average Relocations: 1.0, Load Factor: 0.1484375
Number of Keys: 77, Average Relocations: 1.0, Load Factor: 0.150390625
Number of Keys: 78, Average Relocations: 1.0, Load Factor: 0.15234375
Number of Keys: 79, Average Relocations: 1.0126582278481013, Load Factor: 0.154296875
Number of Keys: 80, Average Relocations: 1.0, Load Factor: 0.15625
Number of Keys: 81, Average Relocations: 1.0, Load Factor: 0.158203125
Number of Keys: 82, Average Relocations: 1.0, Load Factor: 0.16015625
Number of Keys: 83, Average Relocations: 1.0, Load Factor: 0.162109375
Number of Keys: 84, Average Relocations: 1.0, Load Factor: 0.1640625
Number of Keys: 85, Average Relocations: 1.0235294117647058, Load Factor: 0.166015625
Number of Keys: 86, Average Relocations: 1.0, Load Factor: 0.16796875
Number of Keys: 87, Average Relocations: 1.0, Load Factor: 0.169921875
Number of Keys: 88, Average Relocations: 1.0113636363636365, Load Factor: 0.171875
Number of Keys: 89, Average Relocations: 1.0, Load Factor: 0.173828125
Number of Keys: 90, Average Relocations: 1.0, Load Factor: 0.17578125
Number of Keys: 91, Average Relocations: 1.010989010989011, Load Factor: 0.177734375
Number of Keys: 92, Average Relocations: 1.0, Load Factor: 0.1796875
Number of Keys: 93, Average Relocations: 1.010752688172043, Load Factor: 0.181640625
Number of Keys: 94, Average Relocations: 1.0106382978723405, Load Factor: 0.18359375
Number of Keys: 95, Average Relocations: 1.0105263157894737, Load Factor: 0.185546875
Number of Keys: 96, Average Relocations: 1.03125, Load Factor: 0.1875
Number of Keys: 97, Average Relocations: 1.0309278350515463, Load Factor: 0.189453125
Number of Keys: 98, Average Relocations: 1.010204081632653, Load Factor: 0.19140625
Number of Keys: 99, Average Relocations: 1.0, Load Factor: 0.193359375
Number of Keys: 100, Average Relocations: 1.03, Load Factor: 0.1953125
Number of Keys: 100, Average Relocations: 1.0, Load Factor: 0.09765625
Number of Keys: 5, Average Relocations: 1.0, Load Factor: 0.0048828125
